Declaration ID,Date,Office ID,Process Type,Import Type,Import Use,Payment Type,Mode of Transport,Declarant ID,Importer ID,Seller ID,Courier ID,HS6 Code,Country of Departure,Country of Origin,Tax Rate,Tax Type,Country of Origin Indicator,Net Mass,Item Price,Fraud,Critical Fraud
97061800,2020-01-01,30,B,11,21,11,10,ZZR1LT6,QLRUBN9,0VKY2BR,,440890,BE,BE,0.0,FEU1,G,108.0,372254.4,0,0
85945189,2020-01-01,40,B,11,21,11,40,SWF9S4X,7JD1S2X,8WDKMC6,,690722,CN,CN,8.0,A,Y,11352.0,375751.2,0,0
77854751,2020-01-01,20,B,11,21,11,40,X4XT6P8,WI9O3I5,4DT3246,,620822,CN,CN,5.2,FCN1,B,20.7,5353.02,0,0
46925060,2020-01-01,40,B,11,21,43,40,K7LCQTZ,6LI9721,PKUOG2P,,940350,VN,VN,0.0,C,Y,9218.0,1477645.4,0,0
34131149,2020-01-01,20,B,11,21,11,10,1HMVIVH,RZ871V1,,,071080,VN,VN,27.0,A,B,24000.0,6364800.0,0,0
38459034,2020-01-01,40,B,11,21,11,10,OZB7KED,2EIESGV,WLTGD61,,851712,SG,CN,0.0,C,S,2.0,29078.8,1,1
69602841,2020-01-01,40,B,11,21,43,40,3BTA0QN,US268D0,BXMTYM2,,391000,AZ,DE,6.5,C,E,25.0,10765.0,0,0
94070719,2020-01-01,10,B,80,26,11,40,YEVMXEV,EAPRJGG,NTDG5EH,W6UCD9,220870,CN,CN,12.0,FCN1,Y,500.0,78900.0,0,0
28079013,2020-01-01,13,B,11,21,11,40,MP58TZN,OQGTRGJ,B6KLLXR,HE8ATP,853670,US,US,0.0,FUS1,B,0.2,241.58000000000004,0,0
66853714,2020-01-01,30,B,11,21,11,40,P0PG8TK,FI22XB4,BXMTYM2,,940180,CN,CN,0.0,C,G,2053.0,2463.6,0,0
19246049,2020-01-01,20,B,11,21,11,10,TLY6XIA,NM5XD6W,3QHJOHO,,220429,IT,IT,15.0,F,E,7.7,3151.61,0,0
14879976,2020-01-01,30,B,11,21,11,10,H3RWZG0,KRQQAFQ,HXEPMFC,,851762,CN,CN,0.0,C,S,1057.2,153294.0,0,0
58493150,2020-01-01,20,B,11,21,11,10,B0Y0ROB,I6ZZMA2,K76UOWY,,854442,JP,CN,0.0,C,G,14.4,2547.36,1,1
43035997,2020-01-01,30,B,11,21,11,40,QP7Q12R,4IDKLYQ,S7GIAHP,,851660,CN,CN,0.0,FCN1,G,5346.0,2359189.8000000003,0,0
35204875,2020-01-01,62,B,11,23,43,10,3AWZO88,44A9O7H,SLE6478,B7S0RD,441231,ID,ID,5.0,FAS1,S,45684.0,2594851.2,0,0
47555392,2020-01-01,20,B,96,21,11,40,NB30P6B,H5ELQX1,DHZWEP3,W6UCD9,842952,JP,JP,0.0,C,Y,1712.0,1084552.0,0,0
54770090,2020-01-01,20,B,11,21,11,40,626DNVO,IKARAKA,10T1QG8,,821300,US,US,8.0,A,E,5.0,1620.5,0,0
91408622,2020-01-01,40,B,93,21,43,40,GWX4PNW,Y87ZITA,BXMTYM2,,852580,HK,CN,0.0,CIT,E,110.0,50127.0,1,1
55920693,2020-01-01,50,B,11,21,43,50,GY2YQE8,PK9KAKW,LBW8NB5,A5IT1U,420292,CN,CN,3.2,FCN1,G,316.0,189.6,0,0
57409866,2020-01-01,30,B,11,21,11,10,NL3G1LT,EJBNJ7G,AE0JJD2,,481950,CN,CN,0.0,C,E,24.5,95.55,0,0
