No,EPX,Travel Agency,Online,Cancellation Plan,45,UNITED STATES,27,0,24
No,ART,Airlines,Online,24 Protect,33,PHILIPPINES,3.98,1.39,48
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,55,"TAIWAN, PROVINCE OF CHINA",20,0,36
No,C2B,Airlines,Online,Gold Plan,33,SINGAPORE,27,6.75,34
No,EPX,Travel Agency,Online,Cancellation Plan,82,INDONESIA,10,0,26
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,MALAYSIA,21,0,36
No,EPX,Travel Agency,Online,Cancellation Plan,17,HONG KONG,14,0,68
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,"TAIWAN, PROVINCE OF CHINA",26,0,32
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,13,THAILAND,31,0,36
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,21,VIET NAM,24,0,36
Yes,C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,60,15,36
No,EPX,Travel Agency,Online,Cancellation Plan,5,VIET NAM,13,0,36
No,EPX,Travel Agency,Online,Cancellation Plan,33,AUSTRALIA,29,0,36
No,JZI,Airlines,Online,Basic Plan,4,THAILAND,18,6.3,34
No,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,191,NEW ZEALAND,148.5,89.1,67
No,EPX,Travel Agency,Online,Cancellation Plan,10,HONG KONG,22,0,36
No,C2B,Airlines,Online,Bronze Plan,67,SINGAPORE,53.5,13.38,34
No,EPX,Travel Agency,Online,Cancellation Plan,1,MALAYSIA,14,0,36
No,C2B,Airlines,Online,Bronze Plan,61,SINGAPORE,83.5,20.88,24
No,C2B,Airlines,Online,Bronze Plan,46,SINGAPORE,-26.5,6.63,33
No,JZI,Airlines,Online,Basic Plan,22,HONG KONG,35,12.25,33
No,JZI,Airlines,Online,Basic Plan,33,CHINA,-26,9.1,72
No,C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,39,9.75,23
No,C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,187.85,46.96,30
No,EPX,Travel Agency,Online,Cancellation Plan,33,FRANCE,20,0,36
No,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,215,SINGAPORE,19.8,11.88,31
No,EPX,Travel Agency,Online,Cancellation Plan,59,SWITZERLAND,45,0,36
No,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,127,MALAYSIA,49.5,29.7,31
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,86,CANADA,112,0,28
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,16,JAPAN,0,0,31
No,JZI,Airlines,Online,Basic Plan,11,INDONESIA,18,6.3,27
No,JZI,Airlines,Online,Basic Plan,70,UNITED KINGDOM,49,17.15,26
No,EPX,Travel Agency,Online,Cancellation Plan,28,ALBANIA,80,0,36
No,C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,161,40.25,50
No,JZI,Airlines,Online,Basic Plan,4,INDONESIA,18,6.3,41
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,MALAYSIA,20,0,21
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,40,SINGAPORE,30,0,29
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,46,UNITED KINGDOM,192,0,36
No,C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,46.15,11.54,39
No,C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,29.5,7.38,29
No,JZI,Airlines,Online,Basic Plan,41,CHINA,35,12.25,47
No,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,MALAYSIA,0,17.82,39
No,JZI,Airlines,Online,Basic Plan,72,THAILAND,18,6.3,57
No,EPX,Travel Agency,Online,Cancellation Plan,17,MYANMAR,12,0,36
No,C2B,Airlines,Online,Annual Silver Plan,373,SINGAPORE,252.85,63.21,31
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,21,AUSTRALIA,81,0,36
No,EPX,Travel Agency,Online,Cancellation Plan,84,UNITED STATES,79,0,24
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,112,NEPAL,74,0,36
No,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,MALAYSIA,29.7,17.82,31
No,EPX,Travel Agency,Online,Cancellation Plan,24,THAILAND,10,0,23
No,EPX,Travel Agency,Online,Cancellation Plan,12,FRANCE,80,0,36
No,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,43,"KOREA, REPUBLIC OF",0,17.82,26
No,C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,38.35,9.59,25
No,EPX,Travel Agency,Online,Cancellation Plan,6,SINGAPORE,26,0,36
No,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,AUSTRALIA,49.5,29.7,50
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,MALAYSIA,20,0,36
No,EPX,Travel Agency,Online,Cancellation Plan,28,INDONESIA,10,0,30
No,EPX,Travel Agency,Online,Cancellation Plan,7,HONG KONG,15,0,50
No,SSI,Airlines,Online,Ticket Protector,731,SINGAPORE,0.32,0.09,48
No,EPX,Travel Agency,Online,Cancellation Plan,52,PHILIPPINES,10,0,36
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,33,CHINA,26,0,36
No,EPX,Travel Agency,Online,1 way Comprehensive Plan,2,SINGAPORE,20,0,36
No,EPX,Travel Agency,Online,Cancellation Plan,68,SINGAPORE,10,0,36
No,EPX,Travel Agency,Online,Cancellation Plan,5,SINGAPORE,12,0,36
No,EPX,Travel Agency,Online,1 way Comprehensive Plan,5,SINGAPORE,20,0,35
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,SINGAPORE,20,0,36
No,EPX,Travel Agency,Online,1 way Comprehensive Plan,46,UNITED KINGDOM,53,0,36
No,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,AUSTRALIA,29.7,17.82,35
No,C2B,Airlines,Online,Annual Gold Plan,364,SINGAPORE,389.35,97.34,31
No,EPX,Travel Agency,Online,1 way Comprehensive Plan,55,THAILAND,20,0,36
No,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,25.2,6.3,54
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,73,MALAYSIA,39,0,52
No,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,27,6.75,27
No,EPX,Travel Agency,Online,Cancellation Plan,39,SWEDEN,0,0,36
No,EPX,Travel Agency,Online,Cancellation Plan,55,FRANCE,0,0,36
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,79,PHILIPPINES,51,0,36
No,EPX,Travel Agency,Online,Cancellation Plan,63,PHILIPPINES,13,0,36
No,JZI,Airlines,Online,Basic Plan,22,INDIA,35,12.25,54
No,C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,17,4.25,21
No,EPX,Travel Agency,Online,2 way Comprehensive Plan,44,CHINA,92,0,36
